"","name","Grain.yield...bu.ac","Grain.test.weight...lbs.bu","FHB.grain.incidence.....","FHB.incidence.....","FHB.severity.....","Heading.time...Julian.date..JD..","Plant.height.inches","SBMV","balancedIX","ranking"
"60","18-14141",2.00495497482559,-0.335786570114202,-0.235664326675151,-3.63410151099158,-4.45103465001274,-0.664263124044794,-0.239053510794307,0.319421200969352,8.31136466354185,44
"62","18-14238",1.89637918259977,1.1455899911367,-3.068246808528,-5.28433573380357,-6.31584729011989,0.0010027974925606,0.354985434448611,-1.00863357977627,4.54215767946031,89
"64","18-14311",-0.416948175952257,0.775226747990779,1.04855861696056,8.05066778446352,9.93266185723097,-1.65366690142409,-0.205800949152135,-2.76989414560004,5.34229730441454,76
"69","18-14524",2.3034298100129,-0.568438063136448,-4.27676809114117,-13.5484481133456,-17.1328166898883,0.0564126815747841,-0.0871937489979651,1.59855644485091,6.71022007558251,62
"70","18-14532",1.28890963244869,-1.17683397019548,-1.54864502248315,-7.106849496664,-8.71768522757125,-0.471937763108969,-0.169084044468633,2.01619783132865,5.60319343576,73
"71","18-14535",3.7501248893429,-0.0298302253408096,-3.8319171303572,-10.9590989209731,-14.5985615586376,-1.73661932600842,-0.265529414239381,-2.33599750487444,17.25264221862,5
"72","18-14538",3.58899533486117,-0.343255048746002,-5.49221858980106,-14.7399079518937,-19.3032164558429,-0.808800633988398,0.0454815899050729,0.663242378100485,12.8720009917125,15
"76","18-14932",0.914019486224362,0.496140809946688,-0.206038388833589,1.14969984110711,3.7236275452679,-2.28155261505322,0.390733560914732,0.264599372770916,9.65437509577254,34
"77","18-15021",1.66355435807759,-0.348153551704968,0.610773889120512,-2.64222880693756,-3.91715095492583,0.660808168075221,-0.456536878379076,0.811826152506928,3.20288297348632,111
"78","18-15042",2.18949120031785,-0.229071068079747,-2.67765209039887,-7.91342676750836,-9.18546333111319,0.218008415510553,0.211275295342279,2.01810899851369,4.66006247919322,88
"85","18-15372",3.79868946965527,0.699847217622633,1.27790756017163,6.87056494498943,8.89253224905007,-0.868205868215568,0.0531001525400576,-2.2661905406816,12.2018274062098,23
"88","18-15716",2.56152021664039,-0.2260466936456,3.6492957102536,10.6207686709126,14.5985053032251,-0.126216489759599,0.701199396807127,-1.32869229012163,3.55151999928663,103
"89","18-1577",6.6739254604753,1.69237998994038,-2.29240211722521,-2.60150845061867,-1.58292113328769,2.34703641104031,1.0689333932,-0.0673363462537893,5.66689623566176,72
"103","18-16828",2.75874610862644,0.504176908098088,-1.10205766151109,-1.68600577671005,-1.23806804650033,0.760151958252266,0.27382064617143,1.18356050733013,3.71998645698817,100
