"","name","FHB.DON.content...ppm.","FHB.grain.incidence.....","FHB.incidence.....","FHB.severity.....","Grain.test.weight...lbs.bu","Grain.yield...bu.ac","Heading.time...Julian.date..JD..","Plant.height.inches","SBMV","balancedIX"
"73","16-28802",0.526776013684493,10.1089430965854,-3.91796152657975,-0.310963235404301,0.328547667302814,-1.50232570242046,-1.33659229964795,-1.14296578262625,-0.504528971919692,1.55995441249006
"79","16-30848",-1.18354891035989,-14.3071723073508,-4.36356597960263,-8.71032461029855,0.715852455983566,-1.30646230622737,1.55556907402735,-1.51844046371976,1.28811828387553,2.35373629903495
"82","16-32727",-0.738028637910244,-9.45568338173918,-2.42388616276237,-6.42326923674276,-0.516291606183991,2.91811256992145,0.559095130657596,0.424088076944926,0.476541922044662,23.5082901751492
"83","16-32772",-0.465892513226738,-10.3178266382757,-11.0255278371678,-11.6710197192027,0.900786842241367,-0.617980547008926,1.23135183623734,-0.398831631252328,2.04858683078189,14.4893483430943
"85","16-33235",-2.92481436849755,-12.1053115177481,-17.6500838809955,-16.0450765744646,0.738512282202123,2.48544259122092,-2.0148649943612,-0.238153767641109,0.447235596912165,61.9136613858399
"86","16-33368",0.0461369476967874,-18.7443486678469,-14.4947236256023,-20.4631051420962,0.702047397397678,6.35379687025357,3.36025317686165,1.55793905917226,1.69173255756823,51.7288064338302
"87","16-33550",0.664426774517473,-5.77873881805134,7.76944154029759,-4.97657334712714,1.1430767238434,2.554111819236,1.22274521317166,-1.20062197238751,1.34948914149578,9.49921253690129
"89","16-34849",-0.116073841338302,-8.64775701447676,-5.44619552609931,-9.43107214430504,-0.814553876448073,2.20790803686123,1.22143369092259,0.0531967055357612,0.805586386834019,21.1542166228397
"94","16-36048",-3.31189813366923,-17.5484378027119,-28.0695775147745,-20.3897165250678,-0.603541814140492,1.36337917226791,-0.620992516572272,0.568620571722334,-0.0542138768021809,59.9271855126324
"95","16-36176",-3.65492175538024,-19.5115419778431,-0.57993322908132,8.21885509196817,1.71317486519743,3.2089081948987,1.18485644786949,0.987151250943477,0.551589604441351,3.35974964962821
